21CS062,10:33:05,,
21CS062,10:33:05,10:33:05,0:00:00
21CS062,10:33:04,10:33:05,0:00:01
21CS062,10:33:04,10:33:04,0:00:00
21CS062,10:33:03,10:33:04,0:00:01
21CS062,10:33:02,10:33:03,0:00:01
21CS062,10:32:30,10:33:02,0:00:32
21CS062,10:32:28,10:32:30,0:00:02
21CS062,10:32:28,10:32:28,0:00:00
21CS062,10:09:07,10:32:28,0:23:21
21CS062,10:09:07,10:32:27,0:23:20
21CS062,10:32:29,,
21CS062,10:32:28,10:32:30,0:00:02
21CS062,10:32:28,10:32:28,0:00:00
21CS062,10:09:07,10:32:28,0:23:21
21CS062,10:09:07,10:32:27,0:23:20
21CS062,10:32:29,,
21CS062,10:32:31,,
21CS062,10:33:04,,
